County,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ADAMS,0.1277751062,0.1232885924,0.1257289401,0.1332125007,0.1373367728,0.1412631456,0.1463209653,0.1443842435,0.1508355626,0.1558903564,0.1420659635,0.1432257645,0.1432157909,0.1368018668,0.1176548559,0.1251642619,0.1321879483,0.1410905248,0.1371946548,0.1391821788,0.1332254135,0.1372598316,0.1298750356,0.1302374041,0.1178752526,0.1188109832,0.1203165829,0.1161339234,0.1156588926,0.1168882473
ALLEN,0.8515473663,0.8269931155,0.8471510649,0.8500408731,0.8412008066,0.8313090403,0.856913485,0.8781514355,0.8463664268,0.8352747667,0.8531933962,0.8105145812,0.748165453,0.7079055447,0.6712353117,0.6975108811,0.7029636607,0.7375581399,0.745526187,0.7086117932,0.7301516147,0.6656809084,0.6931915275,0.6528617669,0.6485663923,0.62911745,0.6351221398,0.6334810939,0.6365205328,0.5840736069
ASHLAND,0.3684892647,0.3610616895,0.3542654199,0.3738372675,0.3832573674,0.3887322014,0.3841170021,0.3896134641,0.3709402216,0.3691663664,0.3680643026,0.3790334229,0.3442922725,0.3524465376,0.3281869589,0.3386496583,0.3412116861,0.3569512153,0.3545591358,0.3505230162,0.3107859866,0.3343893921,0.3221304475,0.3067606504,0.307352301,0.3107213207,0.3044255644,0.2975676141,0.3117007648,0.2915517118
ASHTABULA,0.61426077,0.5899148875,0.5877482894,0.5995818693,0.5916036315,0.5889392874,0.5820505143,0.5783420939,0.5763915639,0.5942825978,0.6187111647,0.631138193,0.5928718128,0.5564254115,0.523607177,0.5339724032,0.5485210265,0.5537826534,0.5668277474,0.5818207703,0.5481530746,0.544812369,0.55093627,0.4950106907,0.5180981301,0.4707656962,0.5209620413,0.4763130925,0.5149643228,0.4704527789
ATHENS,0.374085694,0.3753258073,0.4018157668,0.3876017928,0.3934081889,0.3913743272,0.3891725546,0.3807460641,0.3749146634,0.3940859844,0.4173853511,0.4535161734,0.4390822273,0.414186232,0.3919959274,0.38579555,0.3889267269,0.4471866526,0.457207003,0.4363576908,0.4469307707,0.4692977589,0.4238195419,0.4270067116,0.4132015279,0.4282842529,0.4184996727,0.4082169549,0.4048473574,0.3672699386
AUGLAIZE,0.4036274189,0.3816520112,0.3900643717,0.4091225695,0.4126498986,0.4211718451,0.4198137229,0.4164427965,0.4108814119,0.3994899194,0.3937652345,0.4082472332,0.3939333412,0.3341292365,0.3067158325,0.34049562,0.3728277727,0.3949925332,0.416632194,0.4351488325,0.4683338158,0.4218803819,0.4245737567,0.3983598629,0.3951510118,0.4038437064,0.3846738138,0.3503987561,0.3653313053,0.354097146
BELMONT,0.5462084906,0.5064485659,0.4976397641,0.4823864642,0.487084563,0.5021152576,0.5054911913,0.4845216043,0.4912140638,0.5002290264,0.4930646257,0.4977951878,0.4253441052,0.3989451189,0.3653759971,0.4093602883,0.445335203,0.4668674527,0.4589442673,0.4654792734,0.4416274656,0.4418766226,0.444723148,0.4533086777,0.4544937906,0.4347337813,0.4529837657,0.4724980726,0.4407977265,0.4202830089
BROWN,0.2200610277,0.2160005329,0.2116143794,0.2103300367,0.2110453729,0.2167335832,0.208977074,0.2166714654,0.2201631588,0.2327987639,0.2249699325,0.2216260547,0.2349376922,0.2288273221,0.2138498979,0.2265638187,0.2368438605,0.2717328509,0.2656775799,0.2589566612,0.2425486436,0.2603730126,0.2393105972,0.2213783528,0.2440716244,0.2143893512,0.2095559203,0.2022756947,0.2121041346,0.2063038112
BUTLER,2.289879843,2.294076456,2.361428415,2.503763954,2.561333628,2.600063203,2.633505113,2.642946846,2.65271478,2.639112526,2.602614479,2.739315341,2.615925192,2.57231617,2.553902086,2.601094346,2.671394092,2.76613208,2.752593709,2.735855673,2.733392326,2.737947522,2.808682122,2.799662589,2.747704711,2.81761767,2.781815788,2.88272633,2.945937336,2.86006245
CARROLL,0.1603883481,0.1647298116,0.1582730256,0.1608267146,0.165500425,0.1737933765,0.1783038748,0.1782620694,0.1810533749,0.1797528749,0.1671853011,0.1668006641,0.1672643165,0.163445053,0.152741385,0.1623834461,0.1677242715,0.1700383005,0.1828542173,0.1773135558,0.1657587228,0.1711633846,0.1620073617,0.1625432222,0.1613482224,0.1685931452,0.1559881587,0.1588149494,0.1680278962,0.159923315
