GeoFips,GeoName,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39001,"Adams, OH",337932,350002,374371,389289,418012,452261,495544,514333,556008,590431,581309,602424,638461,636533,656204,694146,713817,724214,740867,799561,795035,810339,846698,882673,890385,923565,956272,981866,1095850,1211290
39003,"Allen, OH",1978732,1992481,2111086,2164957,2220759,2294809,2438526,2551630,2681099,2722876,2781077,2861863,2929571,2995795,3139303,3299915,3398905,3408781,3506072,3635585,3720653,3708589,3844389,3948314,4025272,4145841,4306723,4419491,4794131,5079044
39005,"Ashland, OH",817694,858717,918131,946297,980118,1048017,1111084,1131679,1189193,1245125,1266981,1308454,1353971,1397611,1435616,1517827,1579006,1534105,1575025,1677936,1684859,1760373,1822669,1877169,1897722,1975000,2054207,2056726,2321859,2473069
39007,"Ashtabula, OH",1629766,1703333,1810706,1881239,1974685,2092798,2180704,2231308,2315239,2396374,2457133,2542509,2627712,2689692,2759412,2865797,2988333,2926379,3019015,3200514,3205241,3244268,3387708,3453644,3486563,3584994,3755094,3851089,4214069,4512580
39009,"Athens, OH",828889,868779,924322,936732,999258,1052862,1103175,1115714,1151772,1248791,1305633,1353291,1371642,1409802,1451898,1532247,1622774,1700755,1794537,1859725,1889914,1889950,1947461,2034071,2070982,2148913,2169786,2237973,2382865,2508138
39011,"Auglaize, OH",873785,889591,949704,1010440,1052191,1128910,1187883,1222209,1300654,1294980,1292364,1349791,1404359,1419225,1461703,1549596,1617887,1557495,1631233,1764502,1837910,1848275,1941719,1966459,2034167,2145251,2205322,2178651,2350485,2559198
39013,"Belmont, OH",1121233,1133605,1184165,1212840,1293768,1363749,1472738,1497115,1538556,1635112,1690186,1739703,1755510,1798919,1870730,1971601,2105896,2103061,2150225,2267804,2316799,2365908,2489343,2550213,2497025,2675262,2860251,2848333,2887265,3055039
39015,"Brown, OH",570917,601544,643766,669980,716056,801830,836195,877034,947604,970498,992912,1038456,1099797,1138691,1175802,1240643,1273342,1279766,1299998,1374493,1368892,1394656,1422720,1441538,1508141,1566427,1621100,1694088,1861100,2021604
39017,"Butler, OH",5987993,6270900,6673849,7123785,7519054,8068138,8681853,9180960,9625643,10130768,10362227,10820968,11205007,11626827,12144357,12680486,13055400,12861533,13175837,13796372,14229479,14452085,15238602,15930080,16403242,17238357,17949651,19030098,20257902,21365261
39019,"Carroll, OH",410435,425673,455864,476947,510925,545615,612120,624845,641355,649139,669157,699716,739925,746673,775342,811278,835392,810595,858617,914075,926940,951769,978569,976695,973645,1027602,1058938,1092490,1181990,1268206
39021,"Champaign, OH",690771,710702,730516,763516,798985,870099,914475,930247,996855,1014955,1004509,1039962,1079390,1097687,1160738,1204039,1251321,1218981,1238877,1312121,1344683,1404907,1416532,1431109,1466733,1524582,1592200,1629226,1782767,1910395
39023,"Clark, OH",2748246,2836902,2974570,3125965,3227193,3411991,3584314,3653243,3786151,3837634,3823705,3890508,3963385,4032736,4182877,4298306,4419800,4394667,4453523,4674123,4706857,4767909,4882176,4989480,5064544,5235117,5367720,5572427,6025189,6426844
39025,"Clermont, OH",2862490,3014017,3213067,3401938,3618811,4089346,4391979,4878825,5232147,5583857,5798636,6025412,6202317,6446709,6773647,7034604,7377433,7283475,7599664,8146742,8241695,8410458,8896069,9773907,9930934,10393157,10839180,11861332,12710836,13003627
39027,"Clinton, OH",646019,672773,747443,792597,861899,938953,983299,1007447,1070751,1110882,1108762,1162896,1253165,1323175,1414877,1494552,1510719,1536808,1528514,1626019,1602024,1596548,1591042,1694181,1738589,1800638,1866889,1905784,1997071,2109472
39029,"Columbiana, OH",1781261,1831936,1935400,2031463,2112758,2244839,2336216,2376688,2477899,2557438,2616012,2701990,2706667,2759116,2901996,3039860,3174031,3103923,3205983,3415133,3501824,3496665,3611813,3684671,3635173,3747332,3878594,4005237,4295362,4562398
39031,"Coshocton, OH",567307,586303,625110,647044,691584,748536,790121,813002,866437,859346,854486,877369,914648,920108,960112,999602,1030319,1002365,1029976,1103227,1091935,1152228,1185331,1265199,1182830,1218193,1279693,1308128,1441267,1560589
39033,"Crawford, OH",784839,815249,876638,909217,936803,1005671,1046275,1046429,1110237,1137094,1130059,1154849,1189616,1188554,1215830,1266947,1289172,1302572,1320798,1402654,1390194,1450789,1463299,1467177,1479167,1526171,1592911,1599407,1801004,1983398
39035,"Cuyahoga, OH",33449644,34626137,36023128,37668449,38892310,40609736,42638369,43332536,45411951,44849561,44875601,45184986,46674939,47610777,50181596,52465748,54217026,51095046,51263517,54230876,56875887,56928975,59512045,61323911,62530466,64599671,66747602,68794068,72024560,77733984
39037,"Darke, OH",920940,970010,1035682,1095211,1160533,1260430,1297064,1303020,1374636,1423819,1422964,1456755,1479605,1458819,1512721,1568731,1709021,1635696,1715132,1814947,1855465,1929358,2006074,2004293,2018717,2118925,2233182,2239657,2467742,2695417
39039,"Defiance, OH",737518,752516,831339,860493,906745,960636,983952,1006309,1029824,1045353,1067692,1106578,1094952,1100513,1152089,1202636,1233858,1184062,1216514,1302910,1327265,1376060,1421051,1428336,1460417,1497493,1542706,1582429,1693397,1818818
39041,"Delaware, OH",1941727,2199695,2517308,2785107,3140105,3477506,3878737,4201081,4724324,5099420,5039325,5223851,5907960,6383649,7327080,8408214,9018931,8998918,9543514,10323534,11071144,11487259,12020848,12865333,13577559,14412549,15168066,16028093,17218278,18817305
39043,"Erie, OH",1565124,1628117,1744716,1864672,1956595,2024044,2137190,2213892,2289849,3293075,3316178,3519241,3438798,3251689,3130952,3317741,3444218,3547564,3820407,4168550,4359597,4367325,4218485,4207088,4440536,4304677,4346850,4086963,4028405,4255598
39045,"Fairfield, OH",2136476,2255027,2452473,2581954,2716486,2899603,3135627,3257629,3506641,3796100,3960870,4179691,4244631,4436751,4648877,4831852,5055867,5057078,5199052,5480976,5727714,5820033,6053730,6309666,6568406,6891123,7172576,7532046,8218055,8809068
39047,"Fayette, OH",434686,451554,483498,495011,525012,571879,594576,606348,652337,701900,704579,747261,765582,768153,789965,828427,861380,866396,856036,923325,928590,973648,971521,998974,1037885,1065718,1094995,1129570,1293148,1379346
39049,"Franklin, OH",21770821,22870717,24144275,25200788,26152307,28110471,30230549,31941169,34538830,34511856,35735623,36950092,38317725,39706824,41343652,42985383,44517700,43685958,45312898,49146343,52901680,53511823,56239159,59262784,60509044,62542288,64857553,66896923,71982043,78251092
39051,"Fulton, OH",758677,796003,853137,881861,937982,997509,1043449,1070358,1123290,1152938,1179146,1243517,1303344,1332809,1386954,1432796,1433558,1394868,1463201,1557036,1565933,1606771,1672147,1730310,1786850,1845247,1903422,1956431,2131208,2248473
39053,"Gallia, OH",474821,490722,537001,540137,569362,606429,642487,669750,706065,758241,769225,792046,835008,839365,896612,935265,974582,975028,977776,1030192,1068175,1057235,1058055,1075239,1079424,1124912,1171935,1207372,1299843,1342948
39055,"Geauga, OH",2028129,2139387,2321287,2476725,2706943,2928462,3137820,3299672,3450789,3641934,3650642,3795299,3987784,4161633,4440046,4540474,4640131,4407745,4736433,5260267,5353790,5461946,5694667,5878188,5981535,6164107,6426518,6684576,6873723,7630061
